seq_id;Rota Real;Rota Gerada;Profit Real;Profit Gerado;Budget Real;Budget Gerado;Recall;Recall Total;Precision; Precision Total;Tempo;Tempo Total
2999;"{30, 1, 13, 4}";"{30, 29, 3, 4}";1736.2;2878.41;19881;11415;0.5;0.5;0.5;0.5;0.071648;0.071648
4970;"{27, 2, 16, 28}";"{27, 3, 30, 29, 28}";766.175;2271.35;7083;6738;0.5;0.5;0.4;0.45;0.02898;0.100628
4546;"{18, 16, 20}";"{18, 29, 30, 20}";592.168;1892.72;3271;3034;0.666667;0.555556;0.5;0.466667;0.008938;0.109566
4469;"{4, 3, 20}";"{4, 3, 29, 16, 30, 20}";1487;3356;2961;2860;1;0.666667;0.5;0.475;0.012358;0.121924
6;"{10, 16, 30}";"{10, 19, 23, 3, 30}";1529.09;2600.67;6158;4075;0.666667;0.666667;0.4;0.46;0.028199;0.150123
1716;"{29, 30, 2}";"{29, 30, 3, 4, 27, 2}";1956.69;3325.53;11412;10322;1;0.722222;0.5;0.466667;0.030996;0.181119
3806;"{16, 29, 30}";"{16, 29, 3, 4, 30}";1861.5;3160.65;12170;8907;1;0.761905;0.6;0.485714;0.12645;0.307569
6;"{10, 16, 30}";"{10, 19, 23, 3, 30}";1529.09;2600.67;6158;4075;0.666667;0.75;0.4;0.475;0.028093;0.335662
1088;"{3, 30, 29}";"{3, 30, 19, 23, 4, 29}";2161;3643;4915;3341;1;0.777778;0.5;0.477778;0.040924;0.376586
4696;"{10, 20, 30, 29}";"{10, 4, 3, 30, 29}";2208.74;3317.66;5118;4396;0.75;0.775;0.6;0.49;0.018491;0.395077
4546;"{18, 16, 20}";"{18, 29, 30, 20}";592.168;1892.72;3271;3034;0.666667;0.765152;0.5;0.490909;0.00937;0.404447
146;"{3, 20, 30}";"{3, 29, 4, 10, 9, 2, 30}";1553.99;3821.49;23062;22791;0.666667;0.756944;0.285714;0.47381;0.108679;0.513126
4546;"{18, 16, 20}";"{18, 29, 30, 20}";592.168;1892.72;3271;3034;0.666667;0.75;0.5;0.475824;0.008679;0.521805
5012;"{27, 2, 4}";"{27, 3, 30, 29, 16, 24, 12, 4}";1149.5;3470.5;20442;9260;0.666667;0.744048;0.25;0.459694;0.272342;0.794147
4970;"{27, 2, 16, 28}";"{27, 3, 30, 29, 28}";766.175;2271.35;7083;6738;0.5;0.727778;0.4;0.455714;0.026813;0.82096
1088;"{3, 30, 29}";"{3, 30, 19, 23, 4, 29}";2161;3643;4915;3341;1;0.744792;0.5;0.458482;0.040616;0.861576
4546;"{18, 16, 20}";"{18, 29, 30, 20}";592.168;1892.72;3271;3034;0.666667;0.740196;0.5;0.460924;0.008662;0.870238
4970;"{27, 2, 16, 28}";"{27, 3, 30, 29, 28}";766.175;2271.35;7083;6738;0.5;0.726852;0.4;0.45754;0.028599;0.898837
4545;"{4, 2, 29}";"{4, 3, 30, 7, 8, 29}";1888.87;3065.75;9173;8325;0.666667;0.723684;0.333333;0.451003;0.030206;0.929043
3806;"{16, 29, 30}";"{16, 29, 3, 4, 30}";1861.5;3160.65;12170;8907;1;0.7375;0.6;0.458452;0.127047;1.05609
146;"{3, 20, 30}";"{3, 29, 4, 10, 9, 2, 30}";1553.99;3821.49;23062;22791;0.666667;0.734127;0.285714;0.450227;0.114011;1.1701
4469;"{4, 3, 20}";"{4, 3, 29, 16, 30, 20}";1487;3356;2961;2860;1;0.746212;0.5;0.452489;0.012241;1.18234
